filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
h_close_(1).wav,0.39549919962882996,0.07569460570812225,3580.616875006492,3193.030333736136,7160.570227581522,0.19270125679347827,-240.38255310058594,86.76366424560547,24.48927879333496,-26.03816032409668,8.077824592590332,-7.50156307220459,-9.403940200805664,-14.083417892456055,-8.171610832214355,-7.092402935028076,-11.424482345581055,-1.700449824333191,-11.075108528137207,-3.8774590492248535,-4.660913467407227,0.6784302592277527,-9.82118034362793,2.8188347816467285,-13.062835693359375,0.5872727036476135,1
h_close_(10).wav,0.4270581901073456,0.07052155584096909,3058.408483673914,3059.486560022792,6945.552916445975,0.13754634533898305,-204.41773986816406,82.40091705322266,20.63802719116211,5.415771484375,8.011068344116211,-7.523033618927002,-6.279036045074463,-11.661441802978516,-18.49243927001953,2.0778069496154785,-10.962797164916992,-2.5626049041748047,-7.968920707702637,8.653480529785156,-2.324472427368164,1.0961503982543945,-10.326770782470703,-0.5615285634994507,-5.854279041290283,5.063144683837891,1
h_close_(11).wav,0.36522603034973145,0.09501022100448608,3074.1514446206115,2856.2680148259,5900.755158635497,0.188375924379771,-259.8462219238281,97.46151733398438,28.21709442138672,-27.191984176635742,1.0364547967910767,-12.736323356628418,-4.60410213470459,-15.348210334777832,-9.548971176147461,-0.37930113077163696,-13.344361305236816,1.1744794845581055,-13.167495727539062,0.22713065147399902,-7.759064674377441,-1.285574197769165,-6.065195083618164,1.945630669593811,-12.532204627990723,0.8255617618560791,1
h_close_(12).wav,0.35182884335517883,0.07197967171669006,2527.1667034281086,2799.9058473366017,5499.402484697165,0.1232079574742268,-280.0150146484375,104.87313842773438,16.398338317871094,-17.506975173950195,-9.837743759155273,-6.940754413604736,5.111569404602051,-18.67853546142578,-17.735271453857422,-5.4485764503479,-1.4028373956680298,-5.462687969207764,-6.660341739654541,-2.4425759315490723,-4.820009708404541,3.462559223175049,-7.205567836761475,-0.14484257996082306,-13.03162670135498,-1.973238229751587,1
h_close_(13).wav,0.4646318256855011,0.03633885830640793,2978.831846268167,2754.9258253846015,5780.780112906678,0.18425593964041095,-247.45989990234375,85.45492553710938,-6.429506301879883,4.945268630981445,9.165170669555664,-10.652462005615234,-6.85807991027832,-10.64245891571045,-12.637911796569824,-1.265826940536499,-3.257854700088501,-11.963098526000977,-8.56687068939209,1.9823002815246582,-8.931239128112793,6.083362102508545,-6.3608622550964355,2.6381583213806152,-8.220026016235352,2.477108955383301,1
h_close_(14).wav,0.3552287220954895,0.06071633845567703,2947.9601447175755,2862.710352757574,6155.4022427262935,0.15358970905172414,-299.8336486816406,88.13848114013672,14.18215274810791,-5.192131996154785,-5.039642810821533,-11.254789352416992,1.319743037223816,-14.548081398010254,-16.412019729614258,-3.4141929149627686,-5.997180938720703,-3.0835072994232178,0.1682053506374359,-3.5157933235168457,-7.807547569274902,3.962686777114868,-7.24882698059082,-0.8570922613143921,-10.108529090881348,-2.8587324619293213,1
h_close_(15).wav,0.3234058618545532,0.11192677915096283,2523.449773811919,2517.2918309022334,5172.176387392241,0.1303093570402299,-253.7878875732422,106.77552795410156,12.903159141540527,-11.704224586486816,-13.511709213256836,-18.666921615600586,-7.355325698852539,-13.979107856750488,-13.057426452636719,1.120112419128418,-9.823513984680176,-8.905380249023438,-0.7187012434005737,-2.263033866882324,-5.837768077850342,2.4701881408691406,-7.79965877532959,0.909166157245636,-12.977703094482422,-0.5782736539840698,1
h_close_(2).wav,0.38308095932006836,0.07758382707834244,3279.232527000893,3048.2900885090103,6722.380635824548,0.14782567771084337,-257.873291015625,92.30300903320312,27.749338150024414,-26.490386962890625,6.550492763519287,-5.047759056091309,-8.130189895629883,-12.231813430786133,-8.511198997497559,-7.731713771820068,-9.233994483947754,-3.489095687866211,-10.682361602783203,-0.921419620513916,-1.5425617694854736,0.22501973807811737,-8.81783676147461,2.6984846591949463,-10.833029747009277,0.3878013491630554,1
h_close_(3).wav,0.33965516090393066,0.1156887635588646,2891.8113482927556,2726.8361391937633,5585.381610576923,0.14777080829326922,-220.23057556152344,98.47101593017578,9.373663902282715,-26.149839401245117,7.032654762268066,-13.299687385559082,-11.434149742126465,-11.60406494140625,-12.702155113220215,-2.320892810821533,-13.755390167236328,-5.704185962677002,-14.358363151550293,0.8949417471885681,-1.2692492008209229,-7.0371623039245605,-5.144034385681152,2.051832437515259,-8.270845413208008,4.344753742218018,1
h_close_(4).wav,0.3209194242954254,0.09060756117105484,3578.858116627908,3163.1438113604963,7353.723449707031,0.210491943359375,-271.4516296386719,62.46839141845703,24.268604278564453,-3.3787474632263184,7.510945796966553,-12.78649616241455,-5.301768779754639,-10.937329292297363,-18.926523208618164,0.41905564069747925,-5.886894226074219,-5.877607345581055,-10.062403678894043,1.1551588773727417,-1.7699626684188843,-2.803555965423584,0.8208791613578796,-4.268660545349121,-13.399070739746094,2.8418736457824707,1
h_close_(5).wav,0.35753220319747925,0.08755690604448318,3517.835789792885,3158.4653225474835,7401.217392743644,0.18669723252118645,-244.48008728027344,76.02732849121094,20.40935516357422,-29.301937103271484,0.5985918641090393,0.7881801128387451,-12.629312515258789,-11.455331802368164,-17.039072036743164,0.5752328038215637,-11.893208503723145,-3.9623172283172607,-6.356931209564209,-2.2780580520629883,1.9894342422485352,1.2686187028884888,-3.3118648529052734,-1.7620502710342407,-12.937990188598633,0.7426217198371887,1
h_close_(6).wav,0.2876894772052765,0.05462600663304329,3149.7451766988074,3043.8013921653223,6856.494873046875,0.13603515625,-301.6309814453125,74.14063262939453,20.887575149536133,-0.2895107567310333,9.025662422180176,-19.21781349182129,-5.211277008056641,-6.967545986175537,-18.300071716308594,-3.5642147064208984,-9.577906608581543,-3.5014452934265137,-16.41571044921875,4.99746561050415,-3.0528926849365234,-3.6537904739379883,1.630537509918213,-1.1253352165222168,-8.622757911682129,6.379959583282471,1
h_close_(7).wav,0.32853859663009644,0.08738899230957031,3375.809233002208,3049.5052113630722,6784.658974095395,0.18597733347039475,-273.1087951660156,66.7510757446289,25.439102172851562,-3.298372745513916,4.441137313842773,-14.779304504394531,-2.2043259143829346,-6.432204246520996,-10.994619369506836,-3.9852399826049805,-9.742000579833984,-8.95047664642334,-14.655177116394043,1.648634910583496,-9.075183868408203,-1.2149419784545898,0.49872368574142456,-7.88677978515625,-7.2051310539245605,2.516542911529541,1
h_close_(8).wav,0.4207113981246948,0.04903661832213402,3207.7030746264613,3111.9938104647654,7023.586043392319,0.16715690888554216,-297.391357421875,76.80533599853516,30.25941276550293,4.936443328857422,5.840151309967041,-4.602955341339111,4.64959192276001,-8.426033020019531,-14.609283447265625,-4.264735698699951,-7.390469074249268,-10.936037063598633,-8.392407417297363,0.748735249042511,-6.895613193511963,6.0344390869140625,-6.113999843597412,-3.07460355758667,-6.589210510253906,1.667439341545105,1
h_close_(9).wav,0.3936763107776642,0.07198815792798996,3548.364861923674,3212.488258055562,7349.515017947635,0.20567637950450451,-236.36141967773438,69.4438247680664,31.771854400634766,2.9067280292510986,-2.248671770095825,-8.876742362976074,1.0007151365280151,-8.641947746276855,-20.187915802001953,4.200621604919434,-9.085958480834961,-3.061474561691284,-10.92194938659668,0.9964486360549927,-2.9367403984069824,-2.8250997066497803,-5.3378586769104,-4.176295757293701,-10.101144790649414,5.043310165405273,1
h_open_(1).wav,0.3373749852180481,0.06969090551137924,2281.327508621453,2798.0889279914013,4942.902531035959,0.08456629922945205,-285.2566223144531,108.94056701660156,22.564197540283203,-11.160923957824707,3.2148444652557373,-16.24626922607422,-12.639302253723145,-8.647553443908691,-18.180391311645508,-10.358306884765625,-13.208980560302734,-11.19086742401123,-9.481651306152344,-0.3314642310142517,-0.8525155186653137,-3.8658251762390137,-7.778798580169678,-2.69447922706604,-6.50477933883667,-2.09285569190979,0
h_open_(10).wav,0.34934622049331665,0.0844731479883194,2674.6947510730265,2880.128972523008,5778.973388671875,0.09913394325657894,-277.7533264160156,92.22055053710938,28.022676467895508,-7.0704665184021,-1.400835394859314,-6.285851955413818,-12.351306915283203,-3.469524621963501,-5.746815204620361,-7.733497142791748,-12.10705852508545,-8.004060745239258,-9.332852363586426,2.9537086486816406,-2.1662373542785645,-10.112266540527344,-1.009187936782837,2.9931833744049072,-8.358414649963379,-4.35444450378418,0
h_open_(11).wav,0.36916711926460266,0.08482634276151657,2527.54904272743,2865.1736757779017,5980.00602722168,0.10638046264648438,-277.96588134765625,95.31572723388672,26.49650001525879,-7.604482650756836,7.188461780548096,-3.753308057785034,-13.323222160339355,1.637268304824829,-5.2954206466674805,-4.893200874328613,-12.380437850952148,-4.504213333129883,-8.238100051879883,4.008242607116699,-4.960188865661621,-9.338098526000977,0.7604935169219971,3.0232491493225098,-10.024188995361328,-6.018784523010254,0
h_open_(12).wav,0.39163997769355774,0.07125396281480789,2049.0125137919517,2612.399798610658,4465.293305495689,0.07301207794540229,-247.5535430908203,111.6460952758789,24.121505737304688,8.963311195373535,2.88798189163208,-13.018491744995117,-4.266510486602783,-10.524406433105469,-13.671905517578125,-1.6993643045425415,-13.183159828186035,-15.216864585876465,-12.08771800994873,-2.509566307067871,-7.6218647956848145,-3.581003189086914,-6.683623790740967,-1.2720094919204712,-5.414600372314453,4.502232551574707,0
h_open_(13).wav,0.3781135380268097,0.11108748614788055,2373.9864797611444,2783.4707082690816,5315.952252327128,0.0946798121675532,-245.126220703125,102.14096069335938,21.196874618530273,-5.3912129402160645,2.242584466934204,-9.216176986694336,-7.6371941566467285,-16.324758529663086,-7.999330520629883,-7.913011074066162,-18.416343688964844,-7.058238506317139,-11.372323989868164,-0.35173240303993225,-6.957245349884033,-6.10515832901001,-4.174641132354736,3.77280855178833,-11.359345436096191,1.248013973236084,0
h_open_(14).wav,0.3900817632675171,0.08959630131721497,2329.9334742914534,2792.808798588957,5147.213855421687,0.08516683923192771,-266.27874755859375,110.4515380859375,26.483055114746094,-6.837711811065674,1.8080284595489502,-19.345739364624023,-10.208965301513672,-14.19704532623291,-9.44919204711914,-6.824551105499268,-6.9763593673706055,-8.136983871459961,-18.00685691833496,0.6070395112037659,-4.551007270812988,-7.397789001464844,-5.260733127593994,-2.007909059524536,-13.061339378356934,7.102624416351318,0
h_open_(15).wav,0.4277082085609436,0.07707632333040237,2176.104038155838,2722.2993886816093,4877.978836862664,0.07467490748355263,-295.7022399902344,111.73155975341797,21.519424438476562,-10.49637508392334,-0.21846646070480347,-10.432252883911133,-3.4564642906188965,-7.676413059234619,-14.348194122314453,0.16321206092834473,-11.535301208496094,-5.0622053146362305,-8.143881797790527,0.007131473161280155,-5.312856674194336,-7.8641180992126465,-6.606868743896484,-2.466140031814575,-8.375411033630371,-1.5589853525161743,0
